"SQGDP2 Gross domestic product (GDP) by state 1/"
"(Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4"
"00000","United States *","1","All industry total",12761337.0,12910022.0,13142873.0,13332316.0,13603933.0,13749806.0,13867469.0,14037228.0,14208569.0,14382363.0,14535003.0,14681501.0
"00000","United States *","2","  Private industries",11077821.0,11209861.0,11423916.0,11593875.0,11845005.0,11971058.0,12064197.0,12210187.0,12354121.0,12508492.0,12636755.0,12759813.0
"00000","United States *","3","      Agriculture, forestry, fishing and hunting",130472.0,130667.0,128250.0,123997.0,119577.0,123277.0,127386.0,130281.0,143611.0,138939.0,140789.0,152909.0
"00000","United States *","6","      Mining, quarrying, and oil and gas extraction",197014.0,210280.0,232654.0,262764.0,268211.0,272817.0,277182.0,275076.0,282098.0,314484.0,318846.0,340424.0
"00000","United States *","10","      Utilities",192326.0,189654.0,200008.0,210583.0,220650.0,226783.0,231892.0,228068.0,228258.0,232986.0,235795.0,230589.0
"00000","United States *","11","      Construction",628498.0,643746.0,664197.0,670825.0,698776.0,698489.0,691573.0,699492.0,715136.0,722010.0,719551.0,704613.0
"00000","United States *","12","      Manufacturing",1673021.0,1667801.0,1703062.0,1729883.0,1780271.0,1797640.0,1793625.0,1803846.0,1798400.0,1853286.0,1861057.0,1866243.0
"00000","United States *","13","          Durable goods manufacturing",945528.0,946649.0,960431.0,974591.0,1004784.0,1004087.0,994185.0,1014589.0,1010722.0,1029308.0,1046932.0,1035541.0
"00000","United States *","25","          Nondurable goods manufacturing",727493.0,721152.0,742631.0,755293.0,775487.0,793553.0,799440.0,789256.0,787678.0,823977.0,814124.0,830702.0
"00000","United States *","34","      Wholesale trade",742768.0,745249.0,759656.0,772124.0,793712.0,807474.0,817953.0,826757.0,846275.0,856827.0,859264.0,868943.0
"00000","United States *","35","      Retail trade",824781.0,834424.0,846151.0,857952.0,867198.0,868315.0,872971.0,871274.0,869253.0,869709.0,867281.0,870631.0
"00000","United States *","36","      Transportation and warehousing",358230.0,368689.0,382488.0,393892.0,401548.0,409400.0,412459.0,418118.0,407801.0,415322.0,411536.0,420952.0
"00000","United States *","45","      Information",641864.0,649641.0,638820.0,639026.0,633846.0,652103.0,664737.0,657289.0,673683.0,695332.0,720497.0,738233.0
"00000","United States *","51","      Finance and insurance",937846.0,960457.0,988674.0,1007844.0,1031491.0,1025183.0,1029672.0,1050419.0,1073919.0,1044919.0,1027444.0,975913.0
"00000","United States *","56","      Real estate and rental and leasing",1605119.0,1627136.0,1646975.0,1650629.0,1662555.0,1687356.0,1721490.0,1767537.0,1781593.0,1791892.0,1827517.0,1869906.0
"00000","United States *","60","      Professional, scientific, and technical services",835695.0,843603.0,857769.0,872540.0,901767.0,909821.0,918849.0,937852.0,950483.0,963665.0,996645.0,1028924.0
"00000","United States *","64","      Management of companies and enterprises",209400.0,211391.0,216883.0,218775.0,226202.0,229720.0,229764.0,236224.0,248429.0,249097.0,251933.0,255168.0
"00000","United States *","65","      Administrative and support and waste management and remediation services",369891.0,378262.0,383146.0,388269.0,395494.0,395896.0,398177.0,406783.0,415277.0,425484.0,436647.0,445090.0
"00000","United States *","69","      Educational services",131124.0,132358.0,134198.0,135236.0,140248.0,142357.0,143685.0,145402.0,147650.0,149277.0,152565.0,156623.0
"00000","United States *","70","      Health care and social assistance",822064.0,830318.0,843332.0,853338.0,877188.0,889786.0,895361.0,907769.0,914730.0,925926.0,942999.0,961955.0
"00000","United States *","76","      Arts, entertainment, and recreation",118898.0,121125.0,123750.0,125094.0,128828.0,130459.0,130014.0,132615.0,135353.0,136258.0,138282.0,139752.0
"00000","United States *","79","      Accommodation and food services",352841.0,356440.0,361382.0,365420.0,376484.0,379250.0,381574.0,386923.0,391622.0,393275.0,397031.0,402444.0
"00000","United States *","82","      Other services (except government and government enterprises)",305971.0,308619.0,312521.0,315684.0,320959.0,324930.0,325832.0,328460.0,330548.0,329805.0,331078.0,330501.0
"00000","United States *","83","  Government and government enterprises",1683519.0,1700161.0,1718958.0,1738442.0,1758930.0,1778749.0,1803273.0,1827041.0,1854450.0,1873873.0,1898249.0,1921687.0
"00000","United States *","84","    Federal civilian",301966.0,304071.0,305560.0,309351.0,314071.0,316756.0,319294.0,322171.0,325066.0,330053.0,335019.0,336610.0
