"SQGDP2 Gross domestic product (GDP) by state 1/"
"(Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4"
"00000","United States *","1","All industry total",17104555.0,17432909.0,17721657.0,17849912.0,18003399.0,18223577.0,18347425.0,18378803.0,18470156.0,18656207.0,18821359.0,19032580.0
"00000","United States *","2","  Private industries",14857127.0,15172202.0,15443019.0,15551208.0,15685440.0,15889157.0,15999270.0,16021567.0,16104559.0,16279050.0,16428938.0,16628169.0
"00000","United States *","3","      Agriculture, forestry, fishing and hunting",197266.0,213020.0,196697.0,197030.0,181923.0,181848.0,185397.0,179965.0,168660.0,170607.0,167008.0,160008.0
"00000","United States *","6","      Mining, quarrying, and oil and gas extraction",412207.0,435285.0,431332.0,386676.0,289939.0,279207.0,251731.0,226221.0,197394.0,212256.0,222596.0,239862.0
"00000","United States *","10","      Utilities",301069.0,295523.0,297788.0,297926.0,299772.0,297112.0,303006.0,297036.0,295408.0,298158.0,306932.0,306481.0
"00000","United States *","11","      Construction",615546.0,629966.0,643996.0,658085.0,673134.0,689699.0,703010.0,713928.0,730776.0,738596.0,748940.0,769246.0
"00000","United States *","12","      Manufacturing",1994183.0,2036740.0,2085501.0,2084506.0,2116396.0,2133018.0,2152958.0,2115995.0,2097380.0,2101690.0,2099096.0,2100781.0
"00000","United States *","13","          Durable goods manufacturing",1101453.0,1121550.0,1154530.0,1158834.0,1176664.0,1181683.0,1190996.0,1185677.0,1184952.0,1182783.0,1185962.0,1191751.0
"00000","United States *","25","          Nondurable goods manufacturing",892729.0,915189.0,930971.0,925672.0,939733.0,951335.0,961962.0,930318.0,912428.0,918907.0,913134.0,909030.0
"00000","United States *","34","      Wholesale trade",1049016.0,1074553.0,1108741.0,1120390.0,1134261.0,1151119.0,1144777.0,1141309.0,1135236.0,1130351.0,1132212.0,1136716.0
"00000","United States *","35","      Retail trade",951282.0,969020.0,982773.0,994978.0,1001349.0,1012393.0,1030876.0,1035698.0,1044770.0,1047934.0,1054782.0,1063887.0
"00000","United States *","36","      Transportation and warehousing",498460.0,515728.0,531708.0,541461.0,553220.0,561511.0,573024.0,575595.0,575210.0,581839.0,580359.0,590541.0
"00000","United States *","45","      Information",833582.0,840685.0,845413.0,849998.0,877708.0,897176.0,917473.0,935396.0,957295.0,961219.0,974390.0,980686.0
"00000","United States *","51","      Finance and insurance",1228641.0,1284248.0,1298212.0,1319431.0,1352195.0,1394750.0,1351755.0,1353671.0,1371038.0,1435033.0,1494252.0,1531562.0
"00000","United States *","56","      Real estate and rental and leasing",2211820.0,2247953.0,2289316.0,2312563.0,2342160.0,2370585.0,2404975.0,2426057.0,2452722.0,2481821.0,2495115.0,2522382.0
"00000","United States *","60","      Professional, scientific, and technical services",1230117.0,1247577.0,1289336.0,1303532.0,1324701.0,1342227.0,1360520.0,1366933.0,1383294.0,1388561.0,1392479.0,1412094.0
"00000","United States *","64","      Management of companies and enterprises",333284.0,327749.0,330964.0,339485.0,346841.0,348279.0,347752.0,348971.0,347837.0,349376.0,351216.0,355222.0
"00000","United States *","65","      Administrative and support and waste management and remediation services",502956.0,515241.0,523332.0,530201.0,533526.0,536870.0,543533.0,547576.0,550487.0,554049.0,559429.0,573025.0
"00000","United States *","69","      Educational services",221957.0,225432.0,228069.0,228889.0,230284.0,231457.0,233856.0,238156.0,242735.0,246048.0,246345.0,249425.0
"00000","United States *","70","      Health care and social assistance",1241524.0,1254074.0,1276683.0,1291071.0,1311717.0,1328412.0,1348952.0,1361179.0,1383031.0,1401366.0,1408473.0,1430524.0
"00000","United States *","76","      Arts, entertainment, and recreation",185867.0,188750.0,191319.0,190490.0,190729.0,192364.0,194006.0,196774.0,201294.0,204018.0,210065.0,212487.0
"00000","United States *","79","      Accommodation and food services",483393.0,496861.0,509627.0,519107.0,537329.0,549116.0,559447.0,567325.0,573101.0,577807.0,584249.0,589939.0
"00000","United States *","82","      Other services (except government and government enterprises)",364956.0,373795.0,382213.0,385387.0,388257.0,392014.0,392221.0,393784.0,396891.0,398320.0,401001.0,403303.0
"00000","United States *","83","  Government and government enterprises",2247429.0,2260708.0,2278639.0,2298704.0,2317958.0,2334419.0,2348157.0,2357235.0,2365597.0,2377156.0,2392420.0,2404411.0
"00000","United States *","84","    Federal civilian",390162.0,393979.0,398952.0,403542.0,408867.0,413449.0,417209.0,420522.0,423572.0,425809.0,430203.0,434684.0
"00000","United States *","85","    Military",206893.0,206108.0,204912.0,203675.0,204776.0,204470.0,204265.0,203745.0,202182.0,201989.0,201703.0,201514.0
"00000","United States *","86","    State and local",1536511.0,1547011.0,1561099.0,1577549.0,1591282.0,1605047.0,1614921.0,1621399.0,1627567.0,1636400.0,1646990.0,1654483.0
"00000","United States *","","Addenda:","","","","","","","","","","","",""
"00000","United States *","100","All industry total, overseas activity",113863.0,113611.0,113676.0,113938.0,113032.0,111452.0,111762.0,111569.0,112275.0,112959.0,113524.0,113731.0
"00000","United States *","101","Government and government enterprises, overseas activity",113863.0,113611.0,113676.0,113938.0,113032.0,111452.0,111762.0,111569.0,112275.0,112959.0,113524.0,113731.0
"01000","Alabama","1","All industry total",190838.2,194511.1,196927.7,197873.7,197620.9,200190.9,201704.0,201274.1,201819.8,204301.2,204782.5,206915.3
"01000","Alabama","2","  Private industries",158291.6,161696.9,163640.1,164313.5,164129.1,166390.0,167512.9,167175.0,167684.3,170008.2,170141.1,171782.0
"01000","Alabama","3","      Agriculture, forestry, fishing and hunting",2382.9,2606.8,2544.6,2538.4,2787.8,2728.4,2711.4,2434.4,2110.6,2133.1,2031.1,1871.9
"01000","Alabama","6","      Mining, quarrying, and oil and gas extraction",2612.8,2623.7,2465.1,2259.5,1746.3,2010.9,2025.6,1823.0,1454.1,1512.4,1594.9,1703.4
"01000","Alabama","10","      Utilities",5113.7,5911.5,5873.4,6530.9,5709.2,6126.1,6081.5,6063.1,5771.8,6308.7,6559.2,6171.5
"01000","Alabama","11","      Construction",6638.8,6610.9,6688.6,6764.4,6633.5,6775.0,6859.8,6863.2,7347.3,7178.7,7023.0,7248.1
"01000","Alabama","12","      Manufacturing",33279.8,33243.4,33477.0,33133.7,32883.5,33465.8,33784.3,33738.5,34196.0,34805.2,34246.5,34441.0
"01000","Alabama","13","          Durable goods manufacturing",19856.8,20134.7,20727.1,20850.2,20871.9,21267.6,21715.3,21755.2,22146.2,22237.5,21716.7,22022.0
"01000","Alabama","25","          Nondurable goods manufacturing",13422.9,13108.7,12750.0,12283.5,12011.7,12198.2,12069.0,11983.3,12049.8,12567.7,12529.9,12419.0
"01000","Alabama","34","      Wholesale trade",11035.2,11209.2,11529.9,11422.4,11486.8,11542.2,11540.0,11645.1,11704.6,11950.7,12003.7,12286.7
"01000","Alabama","35","      Retail trade",12662.0,12824.6,13077.7,13171.7,13022.7,13212.9,13542.3,13610.6,13774.6,14064.8,13859.6,14155.7
"01000","Alabama","36","      Transportation and warehousing",4739.1,4905.6,5073.0,5196.7,5074.9,5159.1,5258.9,5229.1,5279.5,5406.5,5331.2,5325.8
"01000","Alabama","45","      Information",4304.9,4240.2,4179.2,4325.2,4409.9,4449.9,4452.9,4436.7,4402.3,4341.1,4354.4,4330.5
"01000","Alabama","51","      Finance and insurance",12033.7,12859.7,12740.2,12688.5,13139.9,13350.0,12738.0,12415.5,11826.4,12019.9,12456.8,12880.8
"01000","Alabama","56","      Real estate and rental and leasing",20335.6,20555.1,20965.8,20969.5,21634.9,21619.1,21824.2,21975.5,22233.8,22418.4,22491.3,22585.3
