"SQGDP2 Gross domestic product (GDP) by state 1/"
"(Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4"
"00000","United States *","1","All industry total",14651039.0,14805611.0,14835187.0,14559543.0,14394547.0,14352850.0,14420312.0,14628021.0,14721350.0,14926098.0,15079917.0,15240843.0
"00000","United States *","2","  Private industries",12702863.0,12837044.0,12841282.0,12543767.0,12374702.0,12312699.0,12368508.0,12559608.0,12634533.0,12815284.0,12966135.0,13120398.0
"00000","United States *","3","      Agriculture, forestry, fishing and hunting",157621.0,154475.0,141447.0,135430.0,124590.0,124604.0,129019.0,141659.0,135796.0,141603.0,149545.0,158254.0
"00000","United States *","6","      Mining, quarrying, and oil and gas extraction",357994.0,427429.0,430800.0,352475.0,289418.0,262532.0,265511.0,285902.0,307258.0,296645.0,300182.0,319267.0
"00000","United States *","10","      Utilities",223094.0,240233.0,251679.0,251737.0,263564.0,252922.0,251223.0,265256.0,275005.0,274370.0,281777.0,284196.0
"00000","United States *","11","      Construction",668171.0,652168.0,640094.0,635085.0,596780.0,569164.0,557967.0,538676.0,519402.0,527730.0,527666.0,525706.0
"00000","United States *","12","      Manufacturing",1801921.0,1818212.0,1828748.0,1754497.0,1689514.0,1674130.0,1698964.0,1745935.0,1754073.0,1783216.0,1814122.0,1836632.0
"00000","United States *","13","          Durable goods manufacturing",1011680.0,1010743.0,1004196.0,972286.0,897169.0,867051.0,865935.0,893689.0,911030.0,955501.0,988289.0,1002477.0
"00000","United States *","25","          Nondurable goods manufacturing",790241.0,807469.0,824552.0,782211.0,792345.0,807079.0,833029.0,852246.0,843043.0,827715.0,825833.0,834156.0
"00000","United States *","34","      Wholesale trade",871871.0,887383.0,895348.0,882679.0,836948.0,820641.0,825885.0,853245.0,862538.0,881663.0,905900.0,905522.0
"00000","United States *","35","      Retail trade",844622.0,850603.0,855216.0,844259.0,825291.0,822933.0,820268.0,842011.0,838374.0,855717.0,853948.0,857987.0
"00000","United States *","36","      Transportation and warehousing",417075.0,422599.0,427754.0,439784.0,410607.0,398069.0,399047.0,410779.0,414488.0,429138.0,441780.0,446734.0
"00000","United States *","45","      Information",733721.0,754314.0,756881.0,726926.0,719190.0,714214.0,715313.0,738967.0,734240.0,744060.0,766910.0,767906.0
"00000","United States *","51","      Finance and insurance",994192.0,929760.0,855321.0,713718.0,888012.0,975395.0,995677.0,1007332.0,1015196.0,1012539.0,984632.0,1002086.0
"00000","United States *","56","      Real estate and rental and leasing",1873727.0,1886396.0,1890529.0,1907338.0,1912292.0,1897405.0,1900405.0,1894149.0,1908214.0,1935319.0,1942535.0,1971362.0
"00000","United States *","60","      Professional, scientific, and technical services",1052733.0,1079090.0,1098558.0,1098159.0,1055041.0,1027896.0,1022125.0,1020066.0,1035285.0,1051810.0,1075955.0,1092489.0
"00000","United States *","64","      Management of companies and enterprises",252507.0,255364.0,258857.0,258935.0,236930.0,243272.0,248928.0,250996.0,257677.0,261624.0,266821.0,275431.0
