"SQGDP9 Real GDP by state 1/"
"(Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4"
"00000","United States","1","All industry total",15671383.0,15752308.0,15667032.0,15328027.0,15155940.0,15134117.0,15189222.0,15356058.0,15415145.0,15557277.0,15671967.0,15750625.0
"00000","United States","2","  Private industries",13635765.0,13686721.0,13583967.0,13256050.0,13096303.0,13063456.0,13107533.0,13246084.0,13274861.0,13425483.0,13538485.0,13630150.0
"00000","United States","3","      Agriculture, forestry, fishing and hunting",184738.0,179778.0,171047.0,185616.0,196947.0,194118.0,209222.0,199619.0,190109.0,198100.0,196631.0,190583.0
"00000","United States","6","      Mining, quarrying, and oil and gas extraction",285546.0,275184.0,290515.0,370933.0,387635.0,354331.0,339222.0,320417.0,301616.0,309711.0,309467.0,316245.0
"00000","United States","10","      Utilities",244267.0,263261.0,263532.0,229817.0,226207.0,231406.0,238925.0,252354.0,265926.0,262841.0,265805.0,268585.0
"00000","United States","11","      Construction",690363.0,682930.0,675177.0,639952.0,587427.0,576867.0,583614.0,560857.0,544730.0,553912.0,548001.0,543297.0
"00000","United States","12","      Manufacturing",2046438.0,2089932.0,2035184.0,1904915.0,1798638.0,1805652.0,1830126.0,1899269.0,1915206.0,1924321.0,1942088.0,1948871.0
"00000","United States","13","          Durable goods manufacturing",1013987.0,1026452.0,1019720.0,954192.0,865900.0,842277.0,847829.0,880859.0,907657.0,956368.0,991744.0,1014953.0
"00000","United States","25","          Nondurable goods manufacturing",1039056.0,1072968.0,1019533.0,954641.0,944975.0,982704.0,1003429.0,1039921.0,1024275.0,975730.0,953940.0,935318.0
"00000","United States","34","      Wholesale trade",1034026.0,1033617.0,1021220.0,979002.0,911341.0,876763.0,874519.0,915939.0,909307.0,941431.0,971422.0,969387.0
"00000","United States","35","      Retail trade",938075.0,931707.0,918008.0,892745.0,882689.0,878819.0,870516.0,893344.0,888185.0,902374.0,904200.0,905980.0
"00000","United States","36","      Transportation and warehousing",472664.0,473593.0,467462.0,456050.0,430824.0,439031.0,439536.0,448409.0,445219.0,453318.0,467458.0,476770.0
