"SQGDP9 Real GDP by state 1/"
"(Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4"
"00000","United States","1","All industry total",16616540.0,16841475.0,17047098.0,17143038.0,17305752.0,17422845.0,17486021.0,17514062.0,17613264.0,17668203.0,17764388.0,17876179.0
"00000","United States","2","  Private industries",14420884.0,14642817.0,14852818.0,14947431.0,15116302.0,15223689.0,15283349.0,15308336.0,15402106.0,15454607.0,15539253.0,15647903.0
"00000","United States","3","      Agriculture, forestry, fishing and hunting",208495.0,211137.0,212302.0,215100.0,225583.0,223685.0,228895.0,230708.0,238574.0,237665.0,240279.0,238814.0
"00000","United States","6","      Mining, quarrying, and oil and gas extraction",377574.0,398851.0,423830.0,454977.0,479135.0,430651.0,446574.0,450970.0,480646.0,418366.0,406324.0,403163.0
"00000","United States","10","      Utilities",259192.0,263686.0,270285.0,270652.0,252198.0,267335.0,272844.0,272615.0,276824.0,276796.0,282979.0,281692.0
"00000","United States","11","      Construction",568953.0,577775.0,577531.0,586735.0,592352.0,604311.0,608174.0,611855.0,625386.0,622430.0,626315.0,634783.0
"00000","United States","12","      Manufacturing",1977392.0,2021521.0,2041871.0,2039886.0,2059427.0,2053742.0,2052643.0,2027784.0,2030868.0,2033585.0,2036938.0,2028247.0
"00000","United States","13","          Durable goods manufacturing",1078401.0,1096641.0,1122059.0,1118491.0,1125467.0,1124978.0,1128641.0,1121634.0,1124161.0,1118290.0,1124118.0,1126263.0
"00000","United States","25","          Nondurable goods manufacturing",899129.0,925219.0,919768.0,921481.0,934176.0,928785.0,923895.0,905948.0,906433.0,915302.0,912551.0,901318.0
"00000","United States","34","      Wholesale trade",1023613.0,1044817.0,1081420.0,1086945.0,1099711.0,1111021.0,1111201.0,1097268.0,1079734.0,1086187.0,1099422.0,1099542.0
"00000","United States","35","      Retail trade",942517.0,955753.0,962484.0,954762.0,970787.0,988228.0,998294.0,1001137.0,1017298.0,1017779.0,1029788.0,1040489.0
"00000","United States","36","      Transportation and warehousing",486228.0,489111.0,499990.0,499197.0,494114.0,505196.0,514078.0,515273.0,505583.0,514942.0,514385.0,526675.0
"00000","United States","45","      Information",833261.0,845943.0,852736.0,862557.0,899647.0,922597.0,948918.0,979276.0,1003706.0,1011030.0,1027811.0,1035507.0
"00000","United States","51","      Finance and insurance",1121839.0,1154886.0,1154793.0,1172166.0,1196096.0,1219364.0,1172096.0,1171875.0,1168956.0,1193643.0,1220399.0,1239085.0
"00000","United States","56","      Real estate and rental and leasing",2156845.0,2166664.0,2187331.0,2195556.0,2208669.0,2215677.0,2231875.0,2240037.0,2249478.0,2266054.0,2266914.0,2271698.0
"00000","United States","60","      Professional, scientific, and technical services",1209557.0,1227872.0,1264610.0,1271099.0,1281951.0,1292326.0,1305971.0,1312413.0,1331762.0,1334210.0,1331845.0,1348592.0
"00000","United States","64","      Management of companies and enterprises",339809.0,334400.0,338250.0,340637.0,346258.0,346530.0,347282.0,348044.0,347007.0,349628.0,351692.0,356784.0
"00000","United States","65","      Administrative and support and waste management and remediation services",490737.0,498893.0,502519.0,505362.0,506765.0,505580.0,508116.0,506732.0,504741.0,503973.0,507599.0,517504.0
"00000","United States","69","      Educational services",210472.0,212384.0,214232.0,214058.0,214065.0,213303.0,213917.0,217061.0,220107.0,221645.0,220216.0,221078.0
"00000","United States","70","      Health care and social assistance",1220645.0,1228880.0,1245899.0,1257702.0,1278027.0,1286393.0,1297612.0,1304212.0,1320145.0,1328464.0,1325420.0,1339193.0
"00000","United States","76","      Arts, entertainment, and recreation",180611.0,182365.0,183957.0,183168.0,179615.0,178346.0,179005.0,180435.0,182361.0,183428.0,185647.0,190683.0
