State;Year;Real GDP (1997 chained millions)
Florida;1994;345550,3
Georgia;1994;198125
Great Lakes;1994;1207063
Hawaii;1994;40061,8
Idaho;1994;25845,3
Illinois;1994;364916,1
Indiana;1994;149157,2
Iowa;1994;72502,9
Kansas;1994;66731,5
Kentucky;1994;91062,9
Louisiana;1994;114155,9
Maine;1994;28058,4
Maryland;1994;142085,8
Massachusetts;1994;196432,4
Michigan;1994;263499,9
Mideast;1994;1395466
Minnesota;1994;134715,1
Mississippi;1994;53852,3
Missouri;1994;137379,4
Montana;1994;17932,4
Nebraska;1994;45806,5
Nevada;1994;48266,5
New England;1994;415641,6
New Hampshire;1994;30112,6
New Jersey;1994;265388,4
New Mexico;1994;42030,2
New York;1994;596435,4
North Carolina;1994;189755,3
North Dakota;1994;15045,1
Ohio;1994;294384,1
Oklahoma;1994;72405,9
Oregon;1994;76923,9
Pennsylvania;1994;311576,2
Plains;1994;490357,3
Rhode Island;1994;25882
Rocky Mountain;1994;214348,2
South Carolina;1994;85855,8
South Dakota;1994;18140,7
Southeast;1994;1587062
Southwest;1994;723716,4
Tennessee;1994;136301,1
Texas;1994;505162
Utah;1994;44957,5
Vermont;1994;14177,8
Virginia;1994;188082,2
Washington;1994;159469,9
West Virginia;1994;35963,4
Wisconsin;1994;135190,3
Wyoming;1994;15105,1
Alabama;1995;98023,9
Alaska;1995;27608,5
Arizona;1995;112019,5
Arkansas;1995;55836,1
California;1995;940599,3
Colorado;1995;116820,7
Connecticut;1995;128538,1
Delaware;1995;29941,3
District of Columbia;1995;49888,7
Far West;1995;1300697
Florida;1995;358418,8
Georgia;1995;209291,7
Great Lakes;1995;1235447
Hawaii;1995;39552,1
Idaho;1995;27995,5
Illinois;1995;374858,3
Indiana;1995;153785,3
Iowa;1995;74568,3
Kansas;1995;67530,9
Kentucky;1995;94258,6
Louisiana;1995;120333,3
Maine;1995;28768,6
Maryland;1995;144424
Massachusetts;1995;203189,2
Michigan;1995;264124,9
Mideast;1995;1426803
Minnesota;1995;138723,6
Mississippi;1995;56527,7
Missouri;1995;144370,7
Montana;1995;18036,2
Nebraska;1995;46555,5
Nevada;1995;51080,7
New England;1995;433599,6
New Hampshire;1995;32379,2
New Jersey;1995;271763,7
New Mexico;1995;42733
New York;1995;608937,4
North Carolina;1995;199056,2
North Dakota;1995;15325,4
Ohio;1995;304833,9
Oklahoma;1995;73889,3
Oregon;1995;81919,2
Pennsylvania;1995;321831,8
Plains;1995;505631,4
Rhode Island;1995;26551,5
Rocky Mountain;1995;226603,8
South Carolina;1995;89046
South Dakota;1995;18520
Southeast;1995;1651779
Southwest;1995;759371,7
Tennessee;1995;140814,4
Texas;1995;530665,9
Utah;1995;48211,8
Vermont;1995;14210,7
Virginia;1995;193402,1
Washington;1995;160182,5
West Virginia;1995;36902,1
Wisconsin;1995;138009,8
Wyoming;1995;15538,6
Alabama;1996;101379,3
Alaska;1996;27271,2
Arizona;1996;120868,5
Arkansas;1996;58346,3
California;1996;978299,5
Colorado;1996;123144,2
Connecticut;1996;131912,8
Delaware;1996;30503
District of Columbia;1996;49232,1
Far West;1996;1363152
Florida;1996;376851,4
Georgia;1996;223306,9
Great Lakes;1996;1283159
Hawaii;1996;39132,4
Idaho;1996;28927,3
Illinois;1996;389704
Indiana;1996;160020,4
Iowa;1996;78834,1
Kansas;1996;70361,2
Kentucky;1996;97781,4
Louisiana;1996;121488,9
Maine;1996;29627
Maryland;1996;147889,3
Massachusetts;1996;214298,8
Michigan;1996;273562,9
Mideast;1996;1475796
Minnesota;1996;147642,6
Mississippi;1996;58229,6
Missouri;1996;150267,7
Montana;1996;18341,9
Nebraska;1996;49276,3
Nevada;1996;55724,7
New England;1996;452475,6
New Hampshire;1996;34858,3
New Jersey;1996;283608,1
New Mexico;1996;44604,5
New York;1996;634106,9
North Carolina;1996;206757,1
North Dakota;1996;16508,3
Ohio;1996;315188,8
Oklahoma;1996;77537,6
Oregon;1996;93489
Pennsylvania;1996;330321
Plains;1996;532339,8
Rhode Island;1996;27006,3
Rocky Mountain;1996;239357
South Carolina;1996;91716,2
South Dakota;1996;19409,8
Southeast;1996;1720686
Southwest;1996;805124,9
Tennessee;1996;145391,2
Texas;1996;562107,5
Utah;1996;52980,3
Vermont;1996;14838,9
Virginia;1996;201703
Washington;1996;169161,8
West Virginia;1996;37749,6
Wisconsin;1996;144558,3
Wyoming;1996;15968
