State;Year;Real GDP (1997 chained millions)
Texas;1979;328227,7
Utah;1979;26560,2
Vermont;1979;8313,4
Virginia;1979;113943,9
Washington;1979;99798,8
West Virginia;1979;29732,8
Wisconsin;1979;92592,3
Wyoming;1979;12441,7
Alabama;1980;64582,3
Alaska;1980;22439,8
Arizona;1980;55560,6
Arkansas;1980;34773,1
California;1980;599506,9
Colorado;1980;70410,3
Connecticut;1980;78644,1
Delaware;1980;16125,7
District of Columbia;1980;45655,3
Far West;1980;824861,7
Florida;1980;186914,3
Georgia;1980;102952,1
Great Lakes;1980;854483,4
Hawaii;1980;26759,9
Idaho;1980;16414,5
Illinois;1980;258832,1
Indiana;1980;102247,2
Iowa;1980;56386,8
Kansas;1980;49641,7
Kentucky;1980;63052,6
Louisiana;1980;98825,5
Maine;1980;19251,7
Maryland;1980;93518,2
Massachusetts;1980;130464,5
Michigan;1980;190628
Mideast;1980;1012776
Minnesota;1980;87377,1
Mississippi;1980;36031,8
Missouri;1980;95522,4
Montana;1980;15017,9
Nebraska;1980;31159,4
Nevada;1980;22323,9
New England;1980;271110,5
New Hampshire;1980;16235,8
New Jersey;1980;165044,3
New Mexico;1980;24597,4
New York;1980;461418,6
North Carolina;1980;110120,3
North Dakota;1980;12243,1
Ohio;1980;211743,3
Oklahoma;1980;61672,7
Oregon;1980;53343,4
Pennsylvania;1980;231709,1
Plains;1980;344295,4
Rhode Island;1980;18167
Rocky Mountain;1980;143449,4
South Carolina;1980;48649,3
South Dakota;1980;11511,3
Southeast;1980;976312,4
Southwest;1980;481736,1
Tennessee;1980;80420,2
Texas;1980;339794,2
Utah;1980;27127,1
Vermont;1980;8540
Virginia;1980;115632,5
Washington;1980;100522,2
West Virginia;1980;29232,9
Wisconsin;1980;91254,2
Wyoming;1980;13546,7
Alabama;1981;65771
Alaska;1981;25865,6
Arizona;1981;57106,1
Arkansas;1981;36018,1
California;1981;619242,6
Colorado;1981;73467,1
Connecticut;1981;80480,1
Delaware;1981;16455,8
District of Columbia;1981;44855,8
Far West;1981;851426,9
Florida;1981;195993
Georgia;1981;107313,7
Great Lakes;1981;861593
Hawaii;1981;26653,6
Idaho;1981;16493,3
Illinois;1981;262248,1
Indiana;1981;103493,9
Iowa;1981;58096,7
Kansas;1981;51080,8
Kentucky;1981;64756,4
Louisiana;1981;101476,8
Maine;1981;19384,4
Maryland;1981;95345,7
Massachusetts;1981;133646,6
Michigan;1981;190543,3
Mideast;1981;1028056
Minnesota;1981;89820,1
Mississippi;1981;37269,9
Missouri;1981;96740,4
Montana;1981;15605,5
Nebraska;1981;32928,8
Nevada;1981;23255,8
New England;1981;277667,9
New Hampshire;1981;16905,2
New Jersey;1981;169389,2
New Mexico;1981;24949,1
New York;1981;469897,2
North Carolina;1981;113990,7
North Dakota;1981;14084,5
Ohio;1981;213961,6
Oklahoma;1981;65276
Oregon;1981;51928
Pennsylvania;1981;232708
Plains;1981;355679,4
Rhode Island;1981;18609,1
Rocky Mountain;1981;148619,6
South Carolina;1981;50326,2
South Dakota;1981;12200,5
Southeast;1981;1008512
Southwest;1981;508762,4
Tennessee;1981;82679,8
Texas;1981;361249,5
Utah;1981;28129,4
Vermont;1981;8814,4
Virginia;1981;119299,9
Washington;1981;103615,9
West Virginia;1981;28877,7
Wisconsin;1981;91533
Wyoming;1981;14013,4
Alabama;1982;64134,1
Alaska;1982;26542,8
Arizona;1982;55762,7
Arkansas;1982;35055
California;1982;619419,8
Colorado;1982;74962
Connecticut;1982;82537,9
Delaware;1982;16640,4
District of Columbia;1982;43539
Far West;1982;849740,7
Florida;1982;200771,9
Georgia;1982;108941,5
Great Lakes;1982;822243,5
Hawaii;1982;26867
Idaho;1982;15824,3
Illinois;1982;253051,5
Indiana;1982;97816,2
Iowa;1982;54248,3
Kansas;1982;50638,1
Kentucky;1982;62455,5
