state;year;Vp;I;DPER;DUR;G;P;Z
WA;2008;0.59;-1;0;-1;-0.0009;0.08;1
WA;2012;0.58;1;1;0;0.0217;0.05;0
WA;2016;0.59;1;0;1;0.0202;0.04;0
WI;1976;0.51;-1;0;-1;;;
WI;1980;0.47;1;1;0;0.0094;0.2;2
WI;1984;0.45;-1;-1;0;0.0436;0.15;1
WI;1988;0.52;-1;0;-1;0.0514;0.09;1
WI;1992;0.53;-1;-1;-1;0.0422;0.1;1
WI;1996;0.56;1;1;0;0.0384;0.07;2
WI;2000;0.5;1;0;1;0.0221;0.05;2
WI;2004;0.5;-1;-1;0;0.0261;0.05;0
WI;2008;0.57;-1;0;-1;-0.0031;0.07;0
WI;2012;0.53;1;1;0;0.0117;0.05;0
WI;2016;0.5;1;0;1;0.0086;0.06;0
WV;1976;0.58;-1;0;-1;;;
WV;1980;0.52;1;1;0;-0.0033;0.24;0
WV;1984;0.45;-1;-1;0;0.0162;0.13;0
WV;1988;0.52;-1;0;-1;0.0519;0.06;1
WV;1992;0.58;-1;-1;-1;0.0236;0.07;0
WV;1996;0.58;1;1;0;0.0235;0.05;1
WV;2000;0.47;1;0;1;0.0029;0.05;1
WV;2004;0.44;-1;-1;0;0.0102;0.08;0
WV;2008;0.43;-1;0;-1;0.0136;0.12;0
WV;2012;0.36;1;1;0;0.0005;0.08;0
WV;2016;0.28;1;0;1;0.0115;0;0
WY;1976;0.4;-1;0;-1;;;
WY;1980;0.31;1;1;0;-0.0252;0.55;2
WY;1984;0.29;-1;-1;0;0.0115;0.02;0
WY;1988;0.39;-1;0;-1;0.0532;0.09;2
WY;1992;0.46;-1;-1;-1;-0.0004;0.06;1
WY;1996;0.43;1;1;0;-0.0012;0.07;0
WY;2000;0.29;1;0;1;0.0063;0.07;0
WY;2004;0.3;-1;-1;0;0.0186;0.16;1
WY;2008;0.33;-1;0;-1;-0.0149;0.22;2
WY;2012;0.29;1;1;0;-0.0153;0.15;0
WY;2016;0.24;1;0;1;0.0038;0.07;0
